#lambda/nm	C1
208.295	549.6
208.67	497.8
209.045	460
209.419	454
209.794	693.2
210.169	682
210.544	811.4
210.919	704
211.295	678.2
211.67	690
212.045	689.4
212.421	686.6
212.796	727.2
213.172	682.2
213.547	684.6
213.923	682.4
214.299	684.2
214.675	705.8
215.051	695.6
215.427	696.2
215.803	711.6
216.179	692.2
216.555	678.6
216.932	708.2
217.308	688.8
217.684	689.2
218.061	694.8
218.438	693.4
218.814	684.8
219.191	692.6
219.568	679.6
219.945	688.4
220.322	692.8
220.699	702.2
221.076	695
221.453	685.4
221.83	678.2
222.208	682.8
222.585	683.6
222.962	694.4
223.34	696.8
223.717	699.8
224.095	685.8
224.473	699.2
224.851	687
225.229	678
225.607	713.2
225.985	680.4
226.363	688.2
226.741	693
227.119	686.8
227.497	704
227.876	667.8
228.254	700.6
228.633	699.6
229.011	690.2
229.39	694
229.769	698.6
230.148	691.2
230.527	716.6
230.905	691.2
231.284	691.6
231.664	688.4
232.043	709.2
232.422	700
232.801	685.4
233.181	697
233.56	687.2
233.94	698.4
234.319	685.6
234.699	689.2
235.079	738.8
235.458	738
235.838	716.8
236.218	684.8
236.598	684.8
236.978	685.8
237.358	675.6
237.738	690.6
238.119	691.8
238.499	685
238.88	691
239.26	700.8
239.641	675.6
240.021	681.6
240.402	678.8
240.783	669
241.163	680
241.544	685
241.925	684.6
242.306	699.2
242.687	689.4
243.069	685.2
243.45	687.6
243.831	679.8
244.212	679.8
244.594	723.8
244.975	703.6
245.357	697
245.739	687.2
246.12	691
246.502	702.6
246.884	685.8
247.266	692.4
247.648	699.8
248.03	713.6
248.412	695.2
248.794	696.6
249.176	684.2
249.559	696.4
249.941	684.6
250.323	682.8
250.706	691
251.089	690.4
251.471	698.8
251.854	689.4
252.237	688
252.62	697
253.002	687.6
253.385	684
253.769	707
254.152	700.6
254.535	691.4
254.918	679.4
255.301	687.2
255.685	688.8
256.068	679.8
256.452	717
256.835	706.8
257.219	706
257.603	713.2
257.986	684.8
258.37	702.4
258.754	688
259.138	702.6
259.522	712.8
259.906	689.6
260.29	688.4
260.675	690.6
261.059	696.4
261.443	686.4
261.828	695.8
262.212	694.8
262.597	674.8
262.981	681.6
263.366	693.6
263.751	699.2
264.136	679
264.521	684.2
264.906	675.4
265.291	704.4
265.676	687.8
266.061	700.2
266.446	713.4
266.831	690.4
267.217	710.4
267.602	699.2
267.987	695.4
268.373	682.4
268.759	705.8
269.144	692.8
269.53	681.8
269.916	690.4
270.302	688.2
270.688	690.6
271.074	692.4
271.46	715.8
271.846	727
272.232	692
272.618	686.4
273.004	689
273.391	703.2
273.777	703.4
274.164	693.4
274.55	712.8
274.937	696.2
275.324	685.4
275.71	703.8
276.097	707.6
276.484	692.6
276.871	694.2
277.258	695.2
277.645	674.6
278.032	689.6
278.419	684.8
278.807	694.4
279.194	686.2
279.581	682.6
279.969	697.8
280.356	691.8
280.744	694.8
281.131	715.8
281.519	706.4
281.907	682.6
282.295	688.8
282.682	697.6
283.07	692
283.458	698
283.846	704.6
284.235	704.6
284.623	702
285.011	682
285.399	693.6
285.788	689.2
286.176	674
286.565	706.2
286.953	693.2
287.342	691.8
287.731	677
288.119	680.8
288.508	690.6
288.897	694.2
289.286	686.6
289.675	696.2
290.064	703.6
290.453	693.8
290.821	686
291.21	717.6
291.599	697.8
291.989	696
292.378	701.8
292.768	712.4
293.157	699.8
293.547	709
293.936	686.4
294.326	694.8
294.716	703.2
295.106	686.6
295.496	700.6
295.886	713.4
296.276	691.2
296.666	683.4
297.056	682
297.446	681.8
297.836	709.2
298.227	692.8
298.617	700.2
299.008	710.2
299.398	693.8
299.789	688.6
300.179	706
300.57	709.2
300.961	687.4
301.352	684
301.742	702.6
302.133	697.2
302.524	690.6
