#lambda/nm	C1
208.295	548.4
208.67	497.2
209.045	454.2
209.419	454.8
209.794	693.2
210.169	678.2
210.544	812.6
210.919	698.8
211.295	684
211.67	693.8
212.045	688.6
212.421	687.4
212.796	728.6
213.172	683.4
213.547	686.2
213.923	691.4
214.299	683.8
214.675	694.8
215.051	701.2
215.427	694
215.803	711.8
216.179	695.8
216.555	687.6
216.932	701
217.308	682.4
217.684	684.8
218.061	698.6
218.438	697
218.814	689.6
219.191	700
219.568	682.8
219.945	690.8
220.322	689
220.699	699
221.076	694.4
221.453	693
221.83	679.4
222.208	684.8
222.585	682.2
222.962	696.6
223.34	696.6
223.717	682.4
224.095	687.6
224.473	687
224.851	687.8
225.229	676.8
225.607	718.4
225.985	680.8
226.363	689
226.741	692.6
227.119	683.6
227.497	710.4
227.876	676.8
228.254	692.6
228.633	681.2
229.011	684.6
229.39	696.2
229.769	688
230.148	694.4
230.527	712.4
230.905	686.4
231.284	684
231.664	681
232.043	705.2
232.422	692.6
232.801	682.4
233.181	689.2
233.56	688.6
233.94	690.6
234.319	678.2
234.699	689.2
235.079	734
235.458	728.8
235.838	712.4
236.218	690
236.598	677.8
236.978	687.8
237.358	680.8
237.738	682.8
238.119	696
238.499	673.4
238.88	688.4
239.26	708.4
239.641	674.8
240.021	686.8
240.402	692.4
240.783	691.2
241.163	692.4
241.544	692.2
241.925	679
242.306	702.2
242.687	686.2
243.069	683.2
243.45	697.8
243.831	688
244.212	682.2
244.594	734.6
244.975	701.8
245.357	697.6
245.739	691.8
246.12	692
246.502	713
246.884	695
247.266	696.2
247.648	698.6
248.03	707.4
248.412	704.4
248.794	700.8
249.176	696.2
249.559	705.4
249.941	686.2
250.323	680.4
250.706	688.2
251.089	701.8
251.471	704
251.854	688.4
252.237	694.4
252.62	701.4
253.002	692.6
253.385	690.6
253.769	708.6
254.152	690.4
254.535	703
254.918	681.4
255.301	683
255.685	681.2
256.068	672.8
256.452	712.6
256.835	691.8
257.219	690.6
257.603	703
257.986	686
258.37	696.6
258.754	683.4
259.138	687.2
259.522	704
259.906	687.4
260.29	694.4
260.675	688.4
261.059	690.6
261.443	681.6
261.828	696.8
262.212	699
262.597	680.4
262.981	697
263.366	700.8
263.751	700.8
264.136	682.2
264.521	689
264.906	683
265.291	696.4
265.676	685.2
266.061	704.6
266.446	716.6
266.831	701.8
267.217	718.4
267.602	692.4
267.987	698.4
268.373	683.8
268.759	696.6
269.144	692.2
269.53	689.2
269.916	683.8
270.302	692.2
270.688	698.8
271.074	696
271.46	714
271.846	729
272.232	686.2
272.618	684.2
273.004	691.6
273.391	711
273.777	705.2
274.164	688.6
274.55	702.4
274.937	692.2
275.324	683.2
275.71	701.2
276.097	696.8
276.484	685
276.871	690.6
277.258	695.6
277.645	678.6
278.032	681
278.419	690.4
278.807	696.2
279.194	678.6
279.581	678
