#lambda/nm	C1
208.295	553.6
208.67	495.6
209.045	460.8
209.419	459.4
209.794	690.2
210.169	672.8
210.544	815.2
210.919	710
211.295	677
211.67	694.8
212.045	687
212.421	682.2
212.796	727.2
213.172	688.8
213.547	676.6
213.923	684.2
214.299	682.2
214.675	690.4
215.051	700.4
215.427	701.8
215.803	713.2
216.179	688.2
216.555	697.6
216.932	698.8
217.308	691.6
217.684	687.6
218.061	691
218.438	697.4
218.814	694
219.191	693.8
219.568	674.2
219.945	686.2
220.322	698
220.699	699
221.076	699.2
221.453	695.6
221.83	688
222.208	679.8
222.585	689.4
222.962	699
223.34	692.6
223.717	694.6
224.095	685
224.473	693.4
224.851	684.8
225.229	677.2
225.607	703.6
225.985	672
226.363	687.6
226.741	686.8
227.119	685.6
227.497	702.2
227.876	679.2
228.254	703.2
228.633	690.2
229.011	689.6
229.39	686.8
229.769	696.8
230.148	696.8
230.527	705
230.905	694.4
231.284	699.2
231.664	686.6
232.043	704.4
232.422	697.2
232.801	681.8
233.181	694.8
233.56	695.6
233.94	695.4
234.319	682.6
234.699	696.8
235.079	749.8
235.458	745.6
235.838	714.8
236.218	678.6
236.598	685.2
236.978	685
237.358	673.6
237.738	686.8
238.119	696.8
238.499	675.8
238.88	691
239.26	707.2
239.641	679.4
240.021	684.2
240.402	697
240.783	694.2
241.163	693.8
241.544	701.8
241.925	688.2
242.306	703.8
242.687	679.2
243.069	684
243.45	702.4
243.831	680.8
244.212	680.6
244.594	729.6
244.975	697.6
245.357	693.2
245.739	683
246.12	690.4
246.502	709.2
246.884	689.6
247.266	689.4
247.648	695
248.03	717.6
248.412	694.2
248.794	699.2
249.176	685.2
249.559	701.6
249.941	681.2
250.323	691.4
250.706	688
251.089	692
251.471	691.2
251.854	687.2
252.237	695
252.62	701.2
253.002	684.8
253.385	694
253.769	703
254.152	691
254.535	695.8
254.918	673
255.301	690.4
255.685	679
256.068	674.2
256.452	722.6
256.835	699
257.219	694.4
257.603	699.6
257.986	680.2
258.37	694.4
258.754	682.6
259.138	692.6
259.522	700.8
259.906	686.8
260.29	696.8
260.675	688.4
261.059	686.4
261.443	674.4
261.828	707.2
262.212	699.2
262.597	667.4
262.981	686.8
263.366	696.6
263.751	686.4
264.136	681
264.521	681.6
264.906	677.4
265.291	701.6
265.676	687.8
266.061	691.6
266.446	707.4
266.831	682.8
267.217	714.2
267.602	694.4
267.987	696.4
268.373	680
268.759	691.8
269.144	686.6
269.53	686
269.916	684.6
270.302	688.8
270.688	698.4
271.074	694.2
271.46	708.2
271.846	734.8
272.232	693.6
272.618	690
273.004	690
273.391	696
273.777	714
274.164	699.2
274.55	706.4
274.937	691
275.324	694.2
275.71	696.8
276.097	699.8
276.484	683
276.871	692
277.258	695.6
277.645	683.4
278.032	699.8
278.419	688
278.807	692.4
279.194	679.8
279.581	680.6
279.969	693.4
280.356	688.6
280.744	687.2
281.131	717
281.519	708.2
281.907	686.2
282.295	697.8
282.682	704.2
283.07	699.6
283.458	711
283.846	704.4
284.235	710.4
284.623	698.2
285.011	680
285.399	686
285.788	690.2
286.176	680.8
286.565	711.8
286.953	684.2
287.342	695.8
287.731	690
288.119	677.4
288.508	686.4
288.897	698.8
