#lambda/nm	C1
208.295	530.6
208.67	486.6
209.045	448.2
209.419	449.6
209.794	678.6
210.169	667.2
210.544	811
210.919	689
211.295	664.4
211.67	679
212.045	677
212.421	677.2
212.796	724.6
213.172	678.6
213.547	676
213.923	677.4
214.299	677.8
214.675	692.6
215.051	689
215.427	689.4
215.803	708.4
216.179	691.4
216.555	677.6
216.932	685.4
217.308	683
217.684	678.4
218.061	683.6
218.438	690.2
218.814	668.4
219.191	702.4
219.568	671.2
219.945	672.2
220.322	691.2
220.699	686
221.076	694.4
221.453	693.4
221.83	672.4
222.208	677
222.585	676.2
222.962	676.8
223.34	683.2
223.717	675.6
224.095	682.8
224.473	688.6
224.851	677.6
225.229	667.8
225.607	695
225.985	672
226.363	687.4
226.741	683
227.119	682
227.497	700
227.876	671.4
228.254	690.8
228.633	694.4
229.011	682
229.39	679.4
229.769	694.8
230.148	692.2
230.527	706.6
230.905	679
231.284	687.6
231.664	678.4
232.043	696.8
232.422	691.8
232.801	677.8
233.181	683.4
233.56	681.6
233.94	688.8
234.319	671.6
234.699	678.8
235.079	734
235.458	731.4
235.838	706.6
236.218	676.8
236.598	687
236.978	676.8
237.358	669.8
237.738	678.2
238.119	691.8
238.499	673
238.88	686.2
239.26	702
239.641	674.2
240.021	677.6
240.402	688.8
240.783	675
241.163	684.2
241.544	680.4
241.925	682
242.306	701.6
242.687	676.8
243.069	688.8
243.45	690.2
243.831	678
244.212	679.8
244.594	723.4
244.975	694.6
245.357	685
245.739	681
246.12	684.8
246.502	704.6
246.884	680.2
247.266	685.2
247.648	688
248.03	720.6
248.412	687.8
248.794	687.2
249.176	679.6
249.559	693.2
249.941	673.4
250.323	678.4
250.706	683.2
251.089	688.4
251.471	687.2
251.854	684.8
252.237	679.4
252.62	692.4
253.002	679.2
253.385	681.6
253.769	698
254.152	677.6
254.535	687.8
254.918	672.8
255.301	687.8
255.685	677.4
256.068	673.2
256.452	715.6
256.835	693.2
257.219	688
257.603	695.8
257.986	678.4
258.37	681.8
258.754	672.4
259.138	686.8
259.522	697.4
259.906	681.2
260.29	695.4
260.675	689.8
261.059	684.6
261.443	677
261.828	690
262.212	691.8
262.597	672
262.981	676.2
263.366	693
263.751	685.2
264.136	685.6
264.521	673.6
264.906	677.6
265.291	691
265.676	681.8
266.061	684.4
266.446	710.2
266.831	691.2
267.217	705
267.602	684.2
267.987	680.2
268.373	677.6
268.759	697.6
269.144	692.2
269.53	683
269.916	674.6
270.302	681.4
270.688	685.6
271.074	681.2
271.46	699.4
271.846	725.8
272.232	684.6
272.618	679.6
273.004	682
273.391	693
273.777	696.6
274.164	691
274.55	699
274.937	682.2
275.324	676
275.71	693
276.097	695.8
276.484	671
276.871	694
277.258	684.2
277.645	671.2
278.032	688.4
278.419	684.2
278.807	688.2
279.194	676.6
279.581	672.8
279.969	688
280.356	690
280.744	684.8
281.131	714
281.519	700.8
281.907	677
282.295	681.2
282.682	697.4
283.07	687.6
283.458	697.2
283.846	695
284.235	699
284.623	704
285.011	677.6
285.399	687.6
285.788	687.8
286.176	670.8
286.565	710.6
286.953	677.2
287.342	685.2
287.731	675.6
288.119	678
288.508	685
288.897	690.6
289.286	665.6
289.675	690
290.064	691.4
290.453	683.2
290.821	689.2
291.21	700.8
291.599	683
291.989	685.4
292.378	686
292.768	710
293.157	688
293.547	697.6
293.936	683.4
294.326	684
294.716	689.8
295.106	684.2
295.496	697.2
295.886	695.2
296.276	691
296.666	678.8
297.056	680.2
297.446	671
297.836	705
298.227	685.4
298.617	683.8
299.008	704.4
299.398	690.2
299.789	680.2
300.179	694.6
300.57	709.2
300.961	679.4
301.352	678.6
301.742	689
302.133	694
302.524	686.2
302.915	692.4
303.307	676.8
303.698	704.6
304.089	695.2
304.48	684.6
304.872	697
305.263	682.2
305.655	688.2
306.046	696
306.438	692
306.829	673.6
307.221	698.2
307.613	687.2
308.005	692.2
308.397	699.2
308.789	713.4
309.181	720.2
309.573	700.2
309.965	704
310.357	685
310.749	702.2
311.142	689.2
311.534	687.2
311.926	685
312.319	691.4
312.711	681.8
313.104	705.6
313.497	687.6
313.889	727.8
314.282	702.8
314.675	717.8
315.068	675.8
315.461	691.6
315.854	720.4
316.247	693.8
316.64	680.4
317.033	686.2
317.405	690.8
317.798	686.2
318.192	695.8
318.585	682.8
318.979	689.4
319.372	679.6
319.766	689.4
320.16	694.2
320.553	703.2
320.947	702.4
321.341	689
321.735	688
322.129	669.8
322.523	711.6
322.917	674
323.311	705
323.705	688.2
324.099	693.6
324.494	704
324.888	706.6
325.282	690.4
325.677	700
326.071	700
326.466	704.4
326.861	693
327.255	694.6
327.65	709.8
328.045	714
328.44	691.8
328.835	692.8
329.23	676.8
329.625	709.4
330.02	679.4
330.415	707
330.81	697.2
331.206	686.2
331.601	688
331.996	705.4
332.37	716.2
332.766	673.6
333.161	713
333.557	690
333.953	688.6
334.348	1079.2
334.744	690
335.14	673.2
335.536	688.8
335.932	701
336.328	686.6
336.724	692.8
337.12	695
337.516	689
337.913	685.2
338.309	716.2
338.705	681.8
339.102	700.4
339.498	687.6
339.895	704
340.291	683.6
340.688	691.8
341.085	679.2
341.481	680
341.878	683.8
342.275	708.4
342.672	689.4
343.069	679.4
343.466	681
343.842	697.4
344.239	681.8
344.636	685.6
345.033	675.2
345.431	674.2
345.828	694.4
346.225	679.8
346.623	728
347.02	685.4
347.418	696.6
347.816	709.4
348.213	676
348.611	693.6
349.009	687.4
349.407	701.4
349.805	667
350.203	674.2
350.601	705.6
350.999	675.2
351.397	746.4
351.795	686.6
352.193	688.6
352.57	695.6
352.969	697.4
353.367	682.2
353.766	676.4
354.164	684.4
354.563	700.8
354.961	676
355.36	678.8
355.759	683.6
356.158	676.2
356.557	668.6
356.956	677
357.355	668
357.754	691
358.153	682.8
358.552	706.8
358.951	691.2
359.35	700.8
359.75	689.8
360.149	676.4
360.527	661.4
360.926	679.6
361.326	672.2
361.726	686.8
362.125	668
362.525	694
362.925	680
363.325	677.2
363.724	687
364.124	671.8
364.524	675.2
364.924	686.2
365.324	691.6
365.725	667.4
366.125	686
366.525	679.6
366.904	678
367.304	666.6
367.705	700
368.105	700.6
368.506	677.8
368.906	677
369.307	690.6
369.708	689.2
370.108	669.4
370.509	691.2
370.91	672.6
371.311	680.4
371.712	684.8
372.113	684.2
372.514	663
372.894	682.2
373.295	676.6
373.696	685.6
374.097	692.6
374.499	711.8
374.9	691.4
375.301	668.8
375.703	687.4
376.105	668
376.506	684.6
376.908	684.8
377.309	678
377.711	673.8
378.113	664.8
378.493	676.2
378.895	670.4
379.297	688
379.699	665
380.102	678.2
380.504	675
380.906	674.4
381.308	704.2
381.71	679.6
382.113	687.4
382.515	673.8
382.918	680.6
383.299	675.2
383.701	691
384.104	677
384.507	659.4
384.909	676.8
385.312	666.6
385.715	664
386.118	666.8
386.521	677.4
386.924	682.8
387.327	669.2
387.709	667.4
388.112	661.4
388.515	672.2
388.918	673.2
389.322	688.2
389.725	671.6
390.129	700.2
390.532	678.8
390.936	665.4
391.339	666.8
391.743	684
392.125	672
392.529	685
392.933	695.2
393.337	682.2
393.74	677.8
394.144	676.8
394.548	677.2
394.953	680.4
395.357	688.6
395.761	677.2
396.144	674.6
396.548	676.6
396.952	678.4
397.357	688.8
397.761	676
398.166	675.6
398.57	675
398.975	667.4
399.379	677
399.763	739.2
400.168	672.2
400.572	669.2
400.977	672.6
401.382	696.4
401.787	687.2
402.192	692.2
402.597	701.6
403.002	663.4
403.386	696.4
403.791	699.8
404.197	668.6
404.602	675.8
405.007	671.8
405.413	666
405.818	679.4
406.224	667.6
406.608	671.2
407.014	666.2
407.42	704.2
407.825	667.2
408.231	687.8
408.637	689.8
409.043	691.2
409.449	676
409.834	669.6
410.24	683.4
410.646	694.6
411.052	682.2
411.458	681.4
411.865	689.6
412.271	689.2
412.677	678.6
413.062	681.4
413.469	674.6
413.875	704.6
414.282	694.8
414.689	687.4
415.095	689.4
415.502	666.6
415.888	677.4
416.294	666.2
416.701	722.4
417.108	676.4
417.515	680.4
417.923	669.2
418.33	703.8
418.715	681
419.123	680.2
419.53	670.2
419.937	680.6
420.345	687.6
420.752	674.6
421.16	698.8
421.546	680.6
421.953	686.8
422.361	663.4
422.769	679.8
423.177	671.2
423.585	708.4
423.992	697
424.379	699.2
424.787	695.4
425.195	708.8
425.603	675.2
426.011	694.8
426.419	700.8
426.806	682
427.214	683.8
427.623	698
428.031	698.6
428.44	690.2
428.848	698.4
429.235	702.2
429.644	680.6
430.053	681.2
430.461	704.2
430.87	716
431.279	698.2
431.666	679.2
432.075	687
432.484	687.4
432.893	680.2
433.302	708.2
433.711	739.6
434.099	687
434.508	678.4
434.918	677
435.327	705.6
435.737	689
436.125	686.8
436.534	689.6
436.944	684
437.353	695.2
437.763	712.4
438.173	688.8
438.561	701.6
438.971	683
439.381	689
439.791	705.8
440.201	675.6
440.589	705.8
440.999	711.8
441.409	707.2
441.819	688.2
442.23	720
442.619	716.8
443.029	710.4
443.439	710.8
443.85	727.4
444.26	733
444.649	726.6
445.06	719.4
445.471	714.4
445.881	720.2
446.292	737.4
446.682	738.6
447.092	712.6
447.503	770.4
447.914	724.4
448.325	726.4
448.715	728.2
449.126	719.6
449.537	724.8
449.948	724.2
450.338	723.2
450.75	736.2
451.161	717.8
451.572	735.6
451.984	719.4
452.374	708.2
452.786	728.8
453.197	735.6
453.609	738.4
453.999	711.6
454.411	715.8
454.823	740.2
455.235	731.6
455.647	728.2
456.037	733.2
456.449	714.2
456.862	731.2
457.274	737.4
457.665	714
458.077	736.6
458.489	779.8
458.902	727.4
459.293	728
459.705	737.8
460.118	731
460.53	746
460.921	729.2
461.334	743.6
461.747	733.8
462.16	754.6
462.551	747.6
462.964	736.8
463.377	716.8
463.79	729.2
464.182	743
464.595	722.6
465.008	743
465.421	737.6
465.813	734.4
466.226	739.2
466.64	730.4
467.053	781.2
467.445	748
467.859	751
468.272	731.8
468.686	744.4
469.078	733.8
469.492	717
469.906	729.4
470.298	746.6
470.712	723
471.126	788.4
471.54	732.2
471.933	725.2
472.347	735.6
472.761	731.2
473.175	724.4
473.568	741.2
473.982	722.2
474.397	737.2
474.79	730.4
475.204	742
475.619	732.4
476.033	739.2
476.426	734.8
476.841	723.4
477.256	758.6
477.649	721.8
478.064	712.4
478.479	728.4
478.872	724.4
479.287	706.8
479.702	725.8
480.118	727
480.511	738.6
480.927	729.6
481.342	723
481.736	736.6
482.151	724.6
482.566	733.8
482.96	729.6
483.376	730.6
483.792	717.4
484.186	727.8
484.602	715.6
485.017	729.2
485.412	721.2
485.827	725.2
486.243	721.6
486.638	751
487.054	730
487.47	752.2
487.865	724.2
488.281	724.8
488.697	724.6
489.092	717.6
489.508	714
489.925	740.8
490.32	714.8
490.736	736.8
491.153	728.4
491.548	718
491.964	728.6
492.381	705
492.776	723.6
493.193	724.8
493.61	726.6
494.006	710
494.422	732
494.84	713.4
495.235	737.6
495.652	720.4
496.069	715.6
496.465	709.8
496.883	717.6
497.3	746
497.696	710
498.113	725.2
498.509	713.4
498.927	712.8
499.344	715
499.741	706.4
500.158	732.6
500.576	731
500.973	716.8
501.39	700.2
501.787	704.2
502.205	718.4
502.623	712.6
503.02	703.6
503.438	706.6
503.856	712
504.253	718.4
504.671	711
505.068	704.2
505.486	706.6
505.905	727.2
506.302	700.8
506.72	722.6
507.118	687.8
507.536	708.4
507.955	698.4
508.352	712.8
508.771	712.4
509.169	719.6
509.587	697.2
510.006	711.2
510.404	698.6
510.823	700.6
511.221	699.8
511.64	697.2
512.038	724
512.457	702
512.877	696.6
513.275	702.2
513.694	703.2
514.092	709.2
514.512	714.8
514.91	696
515.33	706.8
515.749	707.8
516.148	702.6
516.568	703.2
516.966	704.4
517.386	697
517.785	699.2
518.205	702
518.603	701.2
519.024	690.4
519.444	701
519.843	705.6
520.263	709.2
520.662	702.8
521.082	692
521.481	701.4
521.902	701.4
522.301	692.6
522.722	692.2
523.121	691.8
523.542	692.6
523.963	684.4
524.362	696
524.783	694.6
525.183	692.6
525.604	690.8
526.003	683.4
526.425	685.6
526.824	694.4
527.246	704.2
527.646	696
528.067	693.4
528.467	704.2
528.888	698.4
529.289	682
529.71	692.4
530.11	689.2
530.532	685.2
530.932	678.2
531.354	669.2
531.755	719.6
532.176	701.8
532.577	690.4
532.999	696
533.4	682.2
533.822	697.2
534.223	689.2
534.645	689.6
535.046	686.8
535.468	693.2
535.869	706.2
536.292	679.2
536.693	721.2
537.115	678.4
537.516	683.8
537.939	686.6
538.34	702.4
538.742	693.6
539.165	680.6
539.566	686
539.989	682.2
540.391	687.8
540.814	685.6
541.216	680.8
541.639	687.6
542.041	688.8
542.464	684.4
542.866	679.8
543.268	673.6
543.691	683.6
544.093	692.6
544.517	710.4
544.919	674.4
545.343	707.2
545.745	674.8
546.147	690.2
546.571	684.4
546.974	670.2
547.398	686
547.8	700.2
548.224	686
548.627	682.8
549.03	690.4
549.454	675.8
549.857	669
550.281	675
550.684	682.8
551.087	691.4
551.512	680.2
551.915	680.2
552.34	674.8
552.743	675
553.146	681.8
553.571	679.2
553.975	695
554.399	677.2
554.803	740.4
555.207	672.8
555.632	669.6
556.036	688.4
556.461	667
556.865	687.4
557.268	669.6
557.694	676.2
558.098	678.2
558.502	679
558.927	661.2
559.332	683.2
559.736	678.8
560.162	686
560.566	670.4
560.992	673.8
561.396	677.8
561.801	667.4
562.227	676.6
562.631	676.4
563.036	676.4
563.462	681.8
563.867	687.6
564.272	654
564.698	690
565.103	668.2
565.508	700.6
565.935	679.2
566.34	668.4
566.745	691.6
567.172	668.8
567.577	693.6
567.982	690.6
568.409	675.4
568.815	666.4
569.22	673.8
569.626	677.2
570.053	657.6
570.459	672.4
570.865	691.2
571.292	682
571.698	667
572.104	653.8
572.531	664.2
572.937	685.6
573.343	676.2
573.75	664.6
574.177	671.6
574.583	673.8
574.99	665.4
575.396	678.6
575.824	668.2
576.231	671.6
576.637	666.8
577.065	693
577.472	663.4
577.879	666.8
578.286	682.4
578.714	667.6
579.121	668.8
579.528	671.6
579.935	677.4
580.364	677
580.771	660
581.178	656.4
581.585	672.8
582.014	673.8
582.421	660.2
582.829	662.4
583.236	682.2
583.644	662
584.073	664.8
584.481	667.2
584.889	655
585.296	672.4
585.726	662.8
586.134	658.4
586.542	661.4
586.95	673.2
587.358	648.8
587.787	660.2
588.196	648
588.604	656.6
589.012	663
589.421	659.6
589.851	661.4
590.259	671
590.668	666
591.076	712.8
591.485	651.8
591.894	669.6
592.324	680.4
592.733	673
593.142	655.6
593.551	658
593.96	698.4
594.369	651.6
594.8	652.4
595.209	669
595.618	648.6
596.028	669
596.437	654.4
596.847	657.6
597.256	667.8
597.687	664
598.097	661.6
598.507	653.8
598.917	664.8
599.327	673.8
599.736	661.2
600.146	676.4
600.556	669.8
600.988	687.2
601.398	658.6
601.808	670.4
602.219	657
602.629	673.2
603.039	666.4
603.45	696.4
603.86	665.6
604.271	687.2
604.703	673.4
605.114	660
605.525	668.8
605.935	674.4
606.346	683.8
606.757	666
607.168	664.8
607.579	661
607.99	677.6
608.402	664.6
608.813	675.4
609.224	660
609.636	648.6
610.047	655.2
610.48	668.6
610.892	672.2
611.303	674.8
611.715	664.8
612.127	657.8
612.539	661.2
612.95	668.4
613.362	650
613.774	647.6
614.186	658.4
614.599	656.2
615.011	665.2
615.423	659.6
615.835	653.8
616.248	647.4
616.66	665
617.073	653.6
617.485	654.4
617.898	670.4
618.311	667.4
618.723	666.2
619.136	696.4
619.549	677.6
619.962	689.2
620.375	653
620.788	667.2
621.201	655
621.614	674.6
622.028	657.8
622.441	669.8
622.854	675
623.268	664.2
623.681	666.4
624.095	662.2
624.509	672.6
624.922	666
625.336	655.2
625.728	661
626.142	674.8
626.556	682.2
626.97	668.4
627.384	664.4
627.799	661.4
628.213	676.2
628.627	656.2
629.041	645.8
629.456	661
629.87	658
630.285	667
630.699	680.6
631.093	661.4
631.507	665.8
631.922	663.2
632.337	674
632.752	656.6
633.167	665.4
633.582	657.4
633.997	662
634.412	663
634.806	659
635.221	655.4
635.637	681
636.052	645.4
636.468	669
636.883	691.8
637.299	658.4
637.715	644.4
638.109	662.8
638.525	639
638.941	676.6
639.357	676
639.773	667.6
640.189	658.8
640.584	665.8
