#lambda/nm	DC	C1
318.192	871.2	865.6
318.585	835.8	840
318.979	833.4	842.4
319.372	801.4	794.6
319.766	784.6	786
320.16	797	792.2
320.553	781	776.4
320.947	787.6	787
321.341	760.4	756.8
321.735	760	750.8
322.129	753	747.8
322.523	788.4	791
322.917	753.2	759.2
323.311	784.2	771.8
323.705	773	770.6
324.099	770.8	783.4
324.494	786.2	788
324.888	796.2	792.8
325.282	770.6	779
325.677	787.4	792.6
326.071	789	787.8
326.466	796.6	785.8
326.861	798.8	790.4
327.255	800.6	800.2
327.65	799.4	809.4
328.045	811.2	801.2
328.44	797	789.4
328.835	786.4	783.8
329.23	787	794.2
329.625	816.6	814.8
330.02	801.2	786.6
330.415	822.8	831.4
330.81	808	801.4
331.206	819.4	797.6
331.601	803.8	792.6
331.996	812.6	812.8
332.37	819.4	836.6
332.766	803.2	797.8
333.161	830.4	835.8
333.557	804.6	802.4
333.953	825.4	817.8
334.348	1105.8	1176
334.744	818.8	819.6
335.14	819.4	816.6
335.536	816	814.6
335.932	850	845.4
336.328	846.2	845.6
336.724	871.6	856.6
337.12	856.6	852.8
337.516	869	865
337.913	881.2	883.4
338.309	896.8	898.6
338.705	885.8	868.4
339.102	893.2	893.2
339.498	887.4	880.4
339.895	882.6	899
340.291	868.4	860.2
340.688	870.2	877.8
341.085	863	866.2
341.481	858	855.6
341.878	864.2	855.8
342.275	878	888.6
342.672	851.2	851.4
343.069	852.6	854.4
343.466	844	861.6
343.842	861.6	875.2
344.239	876.2	854
344.636	861.6	864.2
345.033	859.2	857.8
345.431	862.8	852
345.828	873.6	879
346.225	853.6	864.6
346.623	917.4	901.2
347.02	880.8	874.4
347.418	892.4	882.6
347.816	887.6	891.4
348.213	869.4	871.2
348.611	877.2	890.4
349.009	874.2	881
349.407	896	898.2
349.805	871.6	875.2
350.203	870	866.4
350.601	899.2	894.2
350.999	878	884.2
351.397	945.8	941.8
351.795	895	892
352.193	896.2	886.4
352.57	892.8	888.8
352.969	901	898.6
353.367	872.2	868.4
353.766	875.6	864.4
354.164	875.4	876.2
354.563	890.8	879.6
354.961	880.2	871.4
355.36	866.4	873.6
355.759	874	865.8
356.158	853	862.4
356.557	861	850.8
356.956	863.2	852.8
357.355	847	858.6
357.754	866.6	865
358.153	866.4	865.4
358.552	881.4	879.6
358.951	856.6	858
359.35	870.2	867.6
359.75	849.8	853.2
360.149	843	844.6
360.527	836.2	842.8
360.926	836.2	845.2
361.326	850.6	841
361.726	845.2	845.8
362.125	833	832.8
362.525	857	840.8
362.925	836	844.2
363.325	853.8	842
363.724	834.4	841.8
364.124	817.6	834.2
364.524	831.6	827.4
364.924	848	848
365.324	874.8	860.6
365.725	866.4	859.8
366.125	944.4	943.8
366.525	1049.8	1049
366.904	1236.4	1224
367.304	1490.8	1493.2
367.705	1818.2	1814.6
368.105	2095.2	2088
368.506	2350.8	2337.4
368.906	2548.8	2543.6
369.307	2665.2	2702.4
369.708	2753.6	2752.4
370.108	2743	2742.4
370.509	2668.6	2644.6
370.91	2389.4	2371.8
371.311	2089	2093
371.712	1793.2	1794.6
372.113	1507.4	1500
372.514	1256	1249.2
372.894	1094.6	1085.6
373.295	971	977
373.696	913.2	918.8
374.097	882.2	867.4
374.499	864.6	869
374.9	836.4	826.4
375.301	811	814.8
375.703	824.8	815.2
376.105	805.8	804.8
376.506	819.8	811
376.908	811.8	816.8
377.309	802.6	812.6
377.711	816.6	813.6
378.113	804	814.2
378.493	819	814.6
378.895	808.4	806.4
379.297	821	819.4
379.699	798.4	798.8
380.102	819.6	833.8
380.504	813.8	823.6
380.906	823.4	829
381.308	851.4	862
381.71	848.8	843.2
382.113	862.2	862
382.515	851.4	859.8
382.918	864.4	876.2
383.299	868.4	863
383.701	874.2	890
384.104	870.6	883
384.507	854.2	861.6
384.909	876.6	891.6
385.312	860.6	858.4
385.715	864.2	876.6
386.118	865	871.6
386.521	864.6	860.6
386.924	886.2	884.4
387.327	860.8	864.8
387.709	856.8	852.8
388.112	849.6	841.6
388.515	852.4	865.6
388.918	849.4	854.2
389.322	849	858.8
389.725	844	846.6
390.129	856	868.4
390.532	853.2	854.8
390.936	833	841
391.339	822.6	833
391.743	846	861
392.125	829.8	850.2
392.529	857.6	862.2
392.933	859.8	881.2
393.337	855	871.4
393.74	850.8	872.6
394.144	862.4	867.6
394.548	859.2	869.2
394.953	869.2	890.4
395.357	888.2	893
395.761	873.6	879.4
396.144	881.6	887.4
396.548	872.8	878.4
396.952	866.8	880.4
397.357	888.8	887
397.761	880.6	877.4
398.166	879.8	894.8
398.57	886.2	897
398.975	884.6	896
399.379	906.4	918
399.763	959.2	970.2
400.168	912.2	921.8
400.572	930.2	930.6
400.977	933	953.2
401.382	964.4	978.2
401.787	954.4	973
402.192	991.4	990.8
402.597	1000.8	1003.2
403.002	985.4	996.4
403.386	1029.8	1026.2
403.791	1076.4	1078
404.197	1095	1109
404.602	1215.2	1212.4
405.007	1444.4	1467.6
405.413	1864.8	1890
405.818	2816.8	2868.2
406.224	4496.6	4603.8
406.608	6767.2	6861.8
407.014	9046.6	9207.4
407.42	11218.8	11326.2
407.825	13010.4	13214.8
408.231	14558.4	14803.2
408.637	15574.8	15802.8
409.043	16221	16534.6
409.449	16265.8	16609.4
409.834	15629	15831.8
410.24	13830.6	13983
410.646	11587.2	11720.6
411.052	9500.6	9606.8
411.458	7676	7778.2
411.865	6221.8	6334
412.271	5135.2	5223.2
412.677	4366	4424.2
413.062	3784	3815.4
413.469	3319.4	3353.8
413.875	3008.6	3033.6
414.282	2798.6	2813
414.689	2636.6	2661.6
415.095	2576.6	2579.8
415.502	2538.6	2549.6
415.888	2551.4	2558.2
416.294	2591.2	2597.6
416.701	2684.8	2737.4
417.108	2746.2	2749.8
417.515	2847.2	2856
417.923	2941.8	2944.6
418.33	3048.4	3060.8
418.715	3124.2	3157.2
419.123	3219.6	3235.6
419.53	3326	3335.8
419.937	3438.4	3419.2
420.345	3538.8	3529.4
420.752	3608.8	3626
421.16	3718.4	3730.8
421.546	3789.6	3801
421.953	3917.6	3911.8
422.361	3976.8	3987.4
422.769	4073.4	4099.6
423.177	4173.2	4174.8
423.585	4305.2	4323.4
423.992	4427.6	4392
424.379	4498.8	4506.4
424.787	4632	4624.8
425.195	4738.8	4764.8
425.603	4827.8	4851
426.011	4956.2	5023
426.419	5108	5098.8
426.806	5255.6	5261.4
427.214	5410.2	5433.6
427.623	5558.2	5583
428.031	5746.2	5763
428.44	5899.8	5934.4
428.848	6069.4	6084.2
429.235	6285.6	6295.4
429.644	6448.2	6472.4
430.053	6617	6652.4
430.461	6825	6889.4
430.87	7022	7042.6
431.279	7199.2	7231.6
431.666	7421.4	7376
432.075	7538.6	7591.8
432.484	7725.2	7814.4
432.893	7875.2	7931
433.302	8110.4	8162.8
433.711	8359.8	8389.2
434.099	8485.2	8584.6
434.508	8748.2	8742.4
434.918	8990.6	9048.2
435.327	9465.8	9568
435.737	10481.8	10542.2
436.125	12237.6	12340.4
436.534	15665.2	15804.2
436.944	22921.2	22965
437.353	33156.2	33306.6
437.763	45086.8	45182.4
438.173	56259.4	56401.8
438.561	64735.8	64845
438.971	70977	71059.8
439.381	71145.4	71177.8
439.791	74911.4	74949.4
440.201	73907.6	73902.6
440.589	74950.2	74970
440.999	70343.2	70379.6
441.409	64578	64772.8
441.819	53147	53203.6
442.23	42834.4	42902
442.619	33763.6	34000.4
443.029	26766.8	26997.4
443.439	21730.6	21906.4
443.85	18098.8	18249
444.26	15585.6	15757.4
444.649	14028.4	14195
445.06	13243.8	13463.8
445.471	13065.2	13209.8
445.881	13000.6	13191.8
446.292	13019.2	13211.6
446.682	13098.8	13274.4
447.092	13128	13299.8
447.503	13260.6	13407
447.914	13238.2	13453.2
448.325	13399.2	13567.6
448.715	13445.6	13620.6
449.126	13464.8	13708.4
449.537	13630	13809.2
449.948	13684.2	13869.8
450.338	13705.4	13933.6
450.75	13792	14027.2
451.161	13913.2	14034.6
451.572	13897.2	14145.6
451.984	13950	14120.4
452.374	13956	14177.4
452.786	13996.2	14269.4
453.197	14097.8	14296
453.609	14095.8	14330.2
453.999	14159.4	14322.2
454.411	14171.8	14349.4
454.823	14211.4	14397
455.235	14197.2	14363.4
455.647	14210	14391.8
456.037	14230.4	14439.6
456.449	14185.8	14470.6
456.862	14222.4	14473.4
457.274	14261.6	14470.6
457.665	14190.4	14459.8
458.077	14191	14449.6
458.489	14236	14458.2
458.902	14201.8	14394.6
459.293	14132	14378.4
459.705	14130.8	14343.8
460.118	14078.4	14322.8
460.53	14069.8	14272.4
460.921	14021.6	14277.6
461.334	13954.4	14226
461.747	13838.8	14134
462.16	13899.6	14105.2
462.551	13857.4	14072.8
462.964	13767.8	13994.4
463.377	13673	13895
463.79	13615	13842.6
464.182	13543.8	13799
464.595	13506.4	13698.2
465.008	13464.8	13659.4
465.421	13379.4	13669.2
465.813	13346.6	13575.2
466.226	13240.8	13532
466.64	13207.8	13476.4
467.053	13207.8	13439.8
467.445	13109.6	13404.8
467.859	13076.4	13319.2
468.272	13022.4	13237.6
468.686	12973.8	13254
469.078	12951.8	13120
469.492	12838.6	13149.4
469.906	12799.6	13121.8
470.298	12745.6	13010.8
470.712	12678.6	12862.6
471.126	12633.6	12856.4
471.54	12437.6	12654
471.933	12347.2	12570.2
472.347	12180.6	12441.2
472.761	12062.8	12272.2
473.175	11904.8	12124.6
473.568	11766.6	12023.4
473.982	11672	11896.4
474.397	11613.6	11803.2
474.79	11506.6	11744.6
475.204	11399.8	11620.8
475.619	11302	11556
476.033	11290.8	11494.2
476.426	11156.6	11368.2
476.841	11067.2	11325.4
477.256	11003	11228.6
477.649	10923.4	11069.6
478.064	10791.4	11031.2
478.479	10669.6	10890.4
478.872	10592.2	10818.2
479.287	10430	10727.8
479.702	10407	10570
480.118	10359	10549
480.511	10277	10479.2
480.927	10298.6	10524
481.342	10249.6	10513.2
481.736	10397.4	10594
482.151	10481.8	10714.6
482.566	10732.6	10919.4
482.96	10998	11162.4
483.376	11311	11584
483.792	11881.2	12140.6
484.186	12618.2	12818.6
484.602	13570	13777.4
485.017	14746.2	15069.4
485.412	16280.2	16490.6
485.827	18054	18297.8
486.243	20268	20451
486.638	22714.2	22950.2
487.054	25395.6	25648.8
487.47	28347.6	28561.4
487.865	31421.2	31630.4
488.281	34475.8	34803.8
488.697	37467.6	37627.2
489.092	40281.4	40505.2
489.508	42601	42848.2
489.925	44814.4	44936.4
490.32	46277.6	46619.6
490.736	47475.2	47729
491.153	48151.2	48293.6
491.548	48245.2	48604.8
491.964	48141.8	48394.8
492.381	47503	47835.6
492.776	46830.2	47054
493.193	45981.8	46111.6
493.61	44885	45015.2
494.006	43524	43817.4
494.422	42349.6	42523.6
494.84	40937.2	41174.2
495.235	39653.8	39821.8
495.652	38249.4	38504.6
496.069	36919.2	37066.8
496.465	35497.6	35657.2
496.883	34206.4	34387
497.3	32980.4	33155.6
497.696	31674.2	31775.8
498.113	30505	30688
498.509	29346	29465.4
498.927	28258.4	28401.8
499.344	27170.2	27375.8
499.741	26127.4	26299.6
500.158	25117.8	25364.8
500.576	24061.2	24268.4
500.973	22994.6	23100.6
501.39	21808.2	22017
501.787	20639.6	20742.4
502.205	19323.4	19531.4
502.623	18059.6	18188.6
503.02	16730.8	16944.2
503.438	15546.6	15727.8
503.856	14316.2	14465.2
504.253	13221.6	13419.8
504.671	12222.8	12418.8
505.068	11241.6	11470.2
505.486	10447.6	10552.4
505.905	9702.8	9906.8
506.302	9029	9259.4
506.72	8525.6	8653.2
507.118	8000.8	8156
507.536	7579	7755.8
507.955	7199.4	7343
508.352	6851.2	7076.2
508.771	6622.6	6760.2
509.169	6378.6	6553.4
509.587	6184.2	6329
510.006	6011.8	6160.8
510.404	5872	6014.2
510.823	5790.6	5927.2
511.221	5729.8	5840.4
511.64	5606.8	5794.8
512.038	5662	5793.6
512.457	5587.4	5700.6
512.877	5560.6	5703
513.275	5508.8	5638.2
513.694	5475.8	5611.2
514.092	5466	5626.4
514.512	5445.4	5572
514.91	5418.2	5548
515.33	5405.4	5500.2
515.749	5358.4	5470.6
516.148	5348.6	5479.8
516.568	5339.2	5444
516.966	5276.8	5390.8
517.386	5238	5331.4
517.785	5207.8	5297
518.205	5123	5291
518.603	5093.8	5237.4
519.024	5074.2	5186.6
519.444	5043.6	5142.6
519.843	4971.4	5111.8
520.263	4933.6	5065.2
520.662	4888	5034.8
521.082	4847.4	4924.2
521.481	4779.8	4901.2
521.902	4741.6	4846
522.301	4701.2	4831.4
522.722	4665.8	4761.8
523.121	4630.2	4701.2
523.542	4569.6	4672.4
523.963	4537.8	4638.6
524.362	4495.4	4612.2
524.783	4457.8	4545.4
525.183	4406.4	4516.2
525.604	4401.6	4477.2
526.003	4373.8	4480.8
526.425	4342	4462
526.824	4367.2	4452.2
527.246	4391.4	4429.4
527.646	4380.6	4485.8
528.067	4402.8	4460
528.467	4432.2	4493.2
528.888	4404	4505.8
529.289	4440.4	4529.8
529.71	4485	4554.4
530.11	4507.6	4592
530.532	4535.6	4606.6
530.932	4552	4651.4
531.354	4577.4	4693.4
531.755	4721.2	4783.6
532.176	4763	4839.4
532.577	4908.2	4990.2
532.999	5182.2	5230.6
533.4	5542	5629.2
533.822	6031.6	6049.8
534.223	6469.2	6543.8
534.645	6984	7026.4
535.046	7491.6	7598.6
535.468	8031	8086
535.869	8627.4	8691
536.292	9107.4	9224
536.693	9758.6	9833.4
537.115	10352.8	10420.2
537.516	11129.6	11213
537.939	12247.4	12334.2
538.34	13755.6	13838.8
538.742	15673	15757.6
539.165	18142.4	18289.2
539.566	21239	21363.8
539.989	25334.6	25494.2
540.391	30493.2	30603.4
540.814	37120.6	37251.2
541.216	45812.4	45917.4
541.639	56621.2	56778
542.041	69274.6	69391.2
542.464	77078	77085
542.866	77251.2	77250.6
543.268	77201.4	77200.8
543.691	77157.8	77157.2
544.093	77118.2	77117.6
544.517	77082.6	77082.4
544.919	77050.6	77050.8
545.343	77022	77022.8
545.745	76995.6	76995.6
546.147	76972.2	76972.4
546.571	76950.6	76951.6
546.974	76931.2	76932.8
547.398	76914	76915
547.8	76898.6	76900
548.224	76885.2	76885.6
548.627	76871.6	76872.2
549.03	76860	76860.6
549.454	76850	76850
549.857	76841.2	76841.8
550.281	76831.6	76832.6
550.684	76824.2	76824.4
551.087	76816.4	76816.8
551.512	76809.8	76810.4
551.915	76803.6	76804.4
552.34	76798.2	76798.6
552.743	76792.8	76794.4
553.146	74482.4	74631.4
553.571	70016.8	70168
553.975	64558.4	64535.2
554.399	59239.6	59228.8
554.803	54514	54653.6
555.207	49973	50111.8
555.632	45575.6	45621.2
556.036	41242	41273.8
556.461	37054.2	37066.6
556.865	33054.8	33102.2
557.268	29397.6	29424.8
557.694	26116.4	26249.2
558.098	23292	23355.6
558.502	20925	20912.4
558.927	18792.4	18878.8
559.332	17071	17165.4
559.736	15620.4	15670.8
560.162	14512.6	14533.4
560.566	13570	13584.8
560.992	12738.4	12815.2
