#lambda/nm	DC	C1
318.585	834.2	827.4
318.979	824	831.4
319.372	793.8	794.2
319.766	792.2	786.4
320.16	778.2	784.8
320.553	783.4	789
320.947	786.4	780.8
321.341	755.6	754.2
321.735	767.2	762.4
322.129	734.2	756.6
322.523	784.4	787.2
322.917	755.2	757.6
323.311	779.8	772.4
323.705	774.2	771.6
324.099	775.8	766.6
324.494	782.2	792.2
324.888	790.8	772.8
325.282	781.6	773
325.677	786	784.8
326.071	780.2	781.2
326.466	784.8	794.2
326.861	779.4	782
327.255	797.2	783.6
327.65	802.4	797
328.045	801.6	805
328.44	793.6	792.2
328.835	793.8	796.6
329.23	787.8	782.6
329.625	815	812.6
330.02	797.2	792
330.415	819.6	815
330.81	798.2	802.8
331.206	809	801
331.601	789.8	788.8
331.996	811	796.4
332.37	812.2	824.6
332.766	794.4	789.6
333.161	827.8	833.2
333.557	810	804.8
333.953	806.8	806.2
334.348	1206.8	1160.8
334.744	823.4	824
335.14	816.2	811.2
335.536	821.4	820.6
335.932	843.6	835.6
336.328	838	836.2
336.724	854.8	852.2
337.12	863	857.6
337.516	869	871
337.913	864	875.2
338.309	886.8	892.8
338.705	885	875.4
339.102	888.4	894.4
339.498	885.4	875.4
339.895	896.6	895.2
340.291	869.6	874.8
340.688	874.2	869.6
341.085	847.4	859.8
341.481	854.8	855.2
341.878	856.6	854.6
342.275	874.8	879.8
342.672	847.8	853.6
343.069	844.2	855.6
343.466	848	849
343.842	866.8	879
344.239	854.4	849.2
344.636	866	863.6
345.033	860	854.4
345.431	857.2	865.6
345.828	871.2	862.4
346.225	857.8	866
346.623	896.4	906.6
347.02	875.2	871.6
347.418	884.6	883.6
347.816	894.4	902.2
348.213	877.8	862.8
348.611	882.4	878.2
349.009	878	878
349.407	883.2	881.4
349.805	863.4	867.6
350.203	878.2	859.8
350.601	892.8	894
350.999	862	880
351.397	921.2	931
351.795	876.6	872.2
352.193	883.8	890.4
352.57	883.6	881.8
352.969	875.8	897.6
353.367	863.6	858.6
353.766	864.8	863.2
354.164	865.6	867.4
354.563	884.8	882.6
354.961	858.8	873
355.36	869.4	866.2
355.759	854	858.6
356.158	852.4	854.8
356.557	850.6	860.4
356.956	856.2	859.8
357.355	859	837.8
357.754	873.2	855.4
358.153	859.8	860.4
358.552	879	873.2
358.951	855	850
359.35	858.8	867.6
359.75	846.8	850.6
360.149	831.6	848.4
360.527	827	844.4
360.926	828.8	832
361.326	836	843.6
361.726	840.2	847.4
362.125	840	835
362.525	834.4	842
362.925	825.8	831
363.325	840	839.2
363.724	822.6	833
364.124	836.8	828.6
364.524	829	830.6
364.924	832.2	838.6
365.324	862.8	857.8
365.725	855.6	866
366.125	927.2	938.4
366.525	1039.6	1045
366.904	1230.2	1213.6
367.304	1481.2	1477.8
367.705	1802.2	1806
368.105	2101.8	2071
368.506	2332.2	2318.2
368.906	2549.6	2525.6
369.307	2653.4	2671.4
369.708	2732.4	2733.4
370.108	2721.2	2695.2
370.509	2649.6	2636.6
370.91	2382.6	2359.4
371.311	2090.2	2076.4
371.712	1774.2	1786.8
372.113	1485.6	1508.8
372.514	1240.4	1250.6
372.894	1093.4	1092.2
373.295	993	972
373.696	924.4	915.2
374.097	876.6	873.6
374.499	864.6	864.2
374.9	818	831.4
375.301	801	818.2
375.703	825.4	814
376.105	803.4	794.6
376.506	814.8	817.2
376.908	809.8	804.2
377.309	803.4	806.8
377.711	802	801.4
378.113	801.4	798.2
378.493	797	810.4
378.895	802.6	800.8
379.297	825	825.4
379.699	809.2	797
380.102	819.6	813.8
380.504	829.6	818.6
380.906	830.2	821.8
381.308	859	860
381.71	840.4	841.2
382.113	856.2	862.8
382.515	860	856.6
382.918	860.8	858.6
383.299	862.4	867
383.701	884.2	881
384.104	878.8	872
384.507	864.2	854.6
384.909	878.6	879.6
385.312	869	866
385.715	861.4	870.6
386.118	872.6	871.6
386.521	860.2	870.4
386.924	880.2	881.8
387.327	866.6	864.2
387.709	851.4	860.4
388.112	846.6	840
388.515	850.8	857
388.918	844.8	850.2
389.322	854.6	849.8
389.725	835.2	853.4
390.129	857	869.8
390.532	851.8	850.6
390.936	835.4	845.2
391.339	820.6	837.4
391.743	843	849
392.125	846.2	837.6
392.529	856.8	856.4
392.933	869.6	874.6
393.337	842.8	863
393.74	854.4	865.2
394.144	863.8	873.2
394.548	858.8	865.2
394.953	869.4	871.2
395.357	883.8	873.6
395.761	874.4	868.6
396.144	877.4	885
396.548	886.4	877.6
396.952	872.6	884
397.357	876.8	883.6
397.761	875.4	881.8
398.166	885.2	886
398.57	895.4	887.4
398.975	902	899.6
399.379	901	911.6
399.763	947.6	970.8
400.168	909.2	920.6
400.572	920.2	931.2
400.977	931	944.6
401.382	974.4	971.2
401.787	969.8	981.4
402.192	993.2	996
402.597	1020	1015.2
403.002	992.6	1001.8
403.386	1042.2	1050
403.791	1078.4	1086.4
404.197	1108.4	1117.8
404.602	1227.4	1253.6
405.007	1482.4	1481
405.413	1921	1923.4
405.818	2921.2	2938
406.224	4688.2	4722.4
406.608	7074.4	7144.4
407.014	9529.8	9589
407.42	11743.2	11832.8
407.825	13710.2	13791
408.231	15305.8	15416.8
408.637	16424.8	16568.2
409.043	17074.4	17184.2
409.449	17193.6	17286.8
409.834	16400.2	16543.2
410.24	14492	14576.8
410.646	12118.6	12235.8
411.052	9939.6	10022
411.458	8019.4	8083.8
411.865	6494.6	6536
412.271	5345.2	5370
412.677	4513.8	4534.6
413.062	3879.4	3916.4
413.469	3390.4	3415.6
413.875	3050.4	3106.4
414.282	2834.6	2844
414.689	2658.8	2693.4
415.095	2595.6	2589
415.502	2557	2545.2
415.888	2567	2573.6
416.294	2612.4	2619
416.701	2718.4	2715.6
417.108	2773.4	2738.8
417.515	2865.2	2875.4
417.923	2945.8	2943.8
418.33	3089	3075.8
418.715	3161.2	3151.8
419.123	3252.8	3244
419.53	3339	3332.8
419.937	3445.2	3439
420.345	3527.6	3553.2
420.752	3645.6	3602
421.16	3745	3747.8
421.546	3804.2	3798
421.953	3902.2	3885.4
422.361	3978	3977.8
422.769	4081.6	4103.6
423.177	4223.8	4209
423.585	4325.2	4346.8
423.992	4438.8	4411.2
424.379	4521.8	4500
424.787	4626.4	4605.6
425.195	4760	4729
425.603	4889.6	4890.6
426.011	5018.4	4982.6
426.419	5151.6	5116.4
426.806	5257.2	5294.6
427.214	5410	5403.2
427.623	5564.4	5585.4
428.031	5783.8	5743.2
428.44	5922.2	5903.2
428.848	6072.4	6103.2
429.235	6257.8	6265.8
429.644	6460	6470.6
430.053	6664	6620
430.461	6819.4	6840.8
430.87	7023	6996.6
431.279	7181.6	7198
431.666	7322.2	7336.6
432.075	7497.8	7565.2
432.484	7724	7701.4
432.893	7865.4	7915
433.302	8074.4	8109.8
433.711	8285.2	8336.6
434.099	8438.2	8467.6
434.508	8704.6	8717
434.918	8981.6	8994.4
435.327	9495.8	9502.6
435.737	10455.4	10491.8
436.125	12241.4	12256.6
436.534	15728.6	15788.6
436.944	22865.4	22845.6
437.353	33096.4	33222.4
437.763	45005.4	44927.8
438.173	56319.2	56291.6
438.561	64719.6	64778.4
438.971	70997.8	70913
439.381	71180.8	71157.4
439.791	74974.2	74926.8
440.201	73908	73896.6
440.589	74941.2	74917.2
440.999	70339.2	70313.2
441.409	64564.2	64540.4
441.819	53072	53002.4
442.23	42643.2	42730.8
442.619	33868.6	33881.6
443.029	26834.6	26850.6
443.439	21609.4	21733
443.85	18056.6	18121.4
444.26	15547	15599.4
444.649	13903.8	14087
445.06	13207.2	13364.2
445.471	12919.6	13082.8
445.881	12874.8	13022.6
446.292	12981.6	13031.6
446.682	12990	13170.2
447.092	13081.4	13199.6
447.503	13150.8	13298.8
447.914	13165	13332.2
448.325	13199.6	13426.2
448.715	13352.8	13551.8
449.126	13429.8	13511.4
449.537	13494	13666
449.948	13536.6	13765.8
450.338	13603.4	13750.2
450.75	13665.4	13880.2
451.161	13708.4	13890.2
451.572	13760.6	13938.8
451.984	13891.8	13984.8
452.374	13846.6	14025.4
452.786	13921.2	14077
453.197	13941.2	14121.8
453.609	14004.6	14085.6
453.999	13971.4	14190.8
454.411	13953.4	14232
454.823	14088.4	14248.4
455.235	14110	14291.6
455.647	14045.8	14246.4
456.037	14125	14237
456.449	14096.6	14249.4
456.862	14080.2	14264.8
457.274	14106.4	14268.8
457.665	14055	14210.4
458.077	14073.6	14218.8
458.489	14122.2	14208.6
458.902	14045	14206.6
459.293	13990.4	14194.2
459.705	14014.4	14125
460.118	13936.6	14138.2
460.53	13901	14097.4
460.921	13881.4	14043.6
461.334	13814.8	14006.4
461.747	13767	13933.6
462.16	13755	13968.8
462.551	13713.4	13870.6
462.964	13650	13787.4
463.377	13523.2	13731.4
463.79	13495.8	13695
464.182	13436.8	13589.4
464.595	13399.6	13549
465.008	13304.8	13452
465.421	13258.2	13430.4
465.813	13212.8	13367.6
466.226	13130.6	13342
466.64	13087	13297
467.053	13067.4	13315
467.445	13001.8	13164.8
467.859	12934	13147
468.272	12902.6	13090.6
468.686	12856.8	13086
469.078	12788.8	12993
469.492	12724.4	12917
469.906	12720.2	12890
470.298	12670.4	12809.8
470.712	12520.6	12698
471.126	12473.2	12650.6
471.54	12319.4	12551
471.933	12202	12343.6
472.347	12042.8	12190
472.761	11889.6	12127.6
473.175	11836	11975.2
473.568	11657.6	11853.2
473.982	11537.2	11763.6
474.397	11458	11637.4
474.79	11374.2	11541.8
475.204	11271	11498
475.619	11234.6	11369.4
476.033	11134	11356.8
476.426	11075.8	11218.2
476.841	10967	11182.2
477.256	10885.6	11119.8
477.649	10748.4	10991
478.064	10690.8	10878
478.479	10603	10750
478.872	10462	10671.6
479.287	10371.2	10500.2
479.702	10302	10468
480.118	10187.8	10456
480.511	10152.2	10374.8
480.927	10190.8	10373.2
481.342	10175.6	10419.2
481.736	10289	10480.4
482.151	10448.8	10573.4
482.566	10607	10772.2
482.96	10911.4	11082
483.376	11282.6	11490.6
483.792	11797.8	11976.6
484.186	12596.6	12714.2
484.602	13532.4	13625.8
485.017	14753	14895.2
485.412	16189.6	16345.8
485.827	18030.6	18144
486.243	20111.8	20238.6
486.638	22591.4	22780.8
487.054	25412.6	25429.8
487.47	28218	28422.6
487.865	31304.6	31332
488.281	34373.4	34497.4
488.697	37286	37364.8
489.092	40067.2	40131
489.508	42520.2	42525.2
489.925	44517.2	44614.8
490.32	46126.8	46192.2
490.736	47293.4	47331.8
491.153	47978	47942
491.548	48110.6	48156.4
491.964	47969.2	47926
492.381	47355.8	47404.6
492.776	46534	46628.6
493.193	45681.6	45648.2
493.61	44581.2	44452.6
494.006	43427.4	43378.2
494.422	42103.6	42140
494.84	40738.8	40929.8
495.235	39579.6	39585.8
495.652	38192	38123
496.069	36784.6	36801.8
496.465	35431.6	35451
496.883	34055	34119.6
497.3	32733.2	32845.4
497.696	31481.4	31496.8
498.113	30329.6	30361.6
498.509	29173.2	29175.2
498.927	28099.2	28127.4
499.344	26980.6	27088.2
499.741	26062.6	26098.6
500.158	25016.8	25117.6
500.576	23898.4	24053.4
500.973	22914.8	22931.6
501.39	21689	21802.6
501.787	20452.6	20575.4
502.205	19205.2	19281.6
502.623	17929.8	18021.4
503.02	16703.8	16790
503.438	15441	15557.6
503.856	14302.2	14415.2
504.253	13173.8	13308.4
504.671	12148.8	12253.6
505.068	11184.6	11321
505.486	10389.6	10508
505.905	9668.2	9792.4
506.302	8980	9121.2
506.72	8452.6	8571.8
507.118	7952.6	8039
507.536	7525.8	7644.4
507.955	7181.8	7258.6
508.352	6807.2	6968
508.771	6579.2	6744.6
509.169	6335.8	6465
509.587	6151.4	6248.2
510.006	5987.4	6120.6
510.404	5885	5991.8
510.823	5777.2	5876.8
511.221	5672	5779.6
511.64	5600.4	5741.2
512.038	5570.8	5717.4
512.457	5485.6	5619.6
512.877	5486.6	5601.6
513.275	5438.4	5582
513.694	5426.8	5549.6
514.092	5410.4	5502.8
514.512	5375.4	5525
514.91	5356.4	5486.6
515.33	5333.8	5471.6
515.749	5307.6	5458
516.148	5303	5411.4
516.568	5258	5378.4
516.966	5217	5327
517.386	5224.4	5267
517.785	5147	5260
518.205	5085.8	5217.8
518.603	5064.6	5158.8
519.024	5000.8	5107.6
519.444	4962	5084.6
519.843	4915.4	5051
520.263	4937.8	4997.8
520.662	4868.4	4954.2
521.082	4799.2	4906.2
521.481	4754.8	4860.4
521.902	4705.2	4796.4
522.301	4646	4737
522.722	4606.2	4723.4
523.121	4542.6	4683.6
523.542	4538	4614.2
523.963	4506.6	4553.8
524.362	4484.6	4549.2
524.783	4434.4	4490.8
525.183	4382.6	4465.2
525.604	4341.8	4429.6
526.003	4323.4	4421
526.425	4320.8	4363.6
526.824	4318.6	4418
527.246	4320.4	4384.4
527.646	4312.2	4409.4
528.067	4328.6	4420.4
528.467	4365.4	4444.8
528.888	4405	4479.4
529.289	4420	4473.6
529.71	4435.6	4502.6
530.11	4481.6	4536
530.532	4479	4578.4
530.932	4570.8	4623.4
531.354	4577.6	4631
531.755	4687	4774.8
532.176	4744.6	4812.2
532.577	4893.6	4962
532.999	5140.4	5218.2
533.4	5518.8	5572.4
533.822	5979.8	6045.4
534.223	6466.6	6505.2
534.645	6920.2	7044.6
535.046	7477.2	7509
535.468	8018.2	8082.4
535.869	8601.2	8623.4
536.292	9134	9185.4
536.693	9725.8	9850.8
537.115	10313.4	10390.2
537.516	11109.8	11132.4
537.939	12239.2	12306.2
538.34	13757	13768
538.742	15621	15707.2
539.165	18130.8	18220
539.566	21317.4	21347.4
539.989	25334.6	25344.6
540.391	30485.8	30430
540.814	37127	37098
541.216	45798.8	45607.4
541.639	56572.2	56446.4
542.041	69109.2	68976
542.464	76940.4	76575
542.866	77253	77255
543.268	77203	77205.8
543.691	77158.4	77160.8
544.093	77119.6	77122
544.517	77084.2	77086.4
544.919	77052.2	77054.6
545.343	77023.6	77025.2
545.745	76998.2	76999.4
546.147	76974.2	76975.2
546.571	76953	76954.2
546.974	76933.8	76934.2
547.398	76916.6	76917.4
547.8	76900.6	76900.8
548.224	76885.6	76887.8
548.627	76873.6	76873.4
549.03	76861.2	76861.8
549.454	76850.2	76851.2
549.857	76842.6	76842.6
550.281	76833.4	76833.8
550.684	76825.2	76825.6
551.087	76817.4	76818.4
551.512	76811.2	76811.2
551.915	76804.6	76805.2
552.34	76799.2	76799.4
552.743	76794	76794.8
553.146	74660	74548.2
553.571	70072.4	69937.6
553.975	64427.6	64204.4
554.399	59166.4	58963
554.803	54438.6	54251.4
555.207	49884	49648.4
555.632	45412.4	45244.2
556.036	41160.6	40984
556.461	36924.4	36811.6
556.865	32962.4	32896.4
557.268	29284	29229.8
557.694	26112.2	25951
558.098	23205.4	23144
558.502	20726.8	20814
558.927	18766.8	18644.4
559.332	16992.2	16981.4
