#lambda/nm	DC	C1
208.295	567.8	573.2
208.67	504.2	509.4
209.045	470.6	468.4
209.419	466	466.2
209.794	677.4	677.8
210.169	666	659.4
210.544	806.2	800.4
210.919	713.8	715.2
211.295	691.2	693
211.67	705.6	708.2
212.045	706.6	715
212.421	695	694.6
212.796	738	739.6
213.172	705.6	712
213.547	697.2	703.2
213.923	701.2	715.6
214.299	702.2	697.6
214.675	703	715.4
215.051	708.4	710
215.427	717.4	717.4
215.803	732.6	725.8
216.179	721	718.6
216.555	690.4	712.2
216.932	730.2	715.6
217.308	719.8	712.4
217.684	715.8	724.2
218.061	715	719.4
218.438	722	728.8
218.814	719.6	708
219.191	732	737.8
219.568	713	716.8
219.945	722	736
220.322	726	731.8
220.699	730.4	736.4
221.076	735.6	730
221.453	738.8	739.2
221.83	721.6	721.6
222.208	729.8	726.8
222.585	725.2	727.8
222.962	739	744.6
223.34	736	743.6
223.717	729.6	730.2
224.095	717.6	722.8
224.473	726.2	741.2
224.851	724.6	736.2
225.229	723.6	731.6
225.607	743.8	764.8
225.985	720	729.6
226.363	736.6	742.4
226.741	728.8	744.2
227.119	732	741.2
227.497	763.4	746.4
227.876	730	723.8
228.254	741.6	749.2
228.633	744.6	751.2
229.011	743.8	751.2
229.39	742.6	741.8
229.769	750.6	752.4
230.148	756.6	753.8
230.527	775.6	772.4
230.905	742.6	760
231.284	756.4	749.2
231.664	737.8	746.6
232.043	767.6	770
232.422	761.8	773.4
232.801	764	753.4
233.181	769	775.6
233.56	757.4	766.6
233.94	758	770
234.319	751	746.2
234.699	761	777.4
235.079	810	824.4
235.458	815	813
235.838	794	795.4
236.218	766.8	770.6
236.598	767.4	769.2
236.978	770.6	766
237.358	772	774
237.738	771.2	780.8
238.119	783.8	785.8
238.499	766.2	772
238.88	792.8	781.8
239.26	789.8	819.2
239.641	769.8	782
240.021	779.2	790.4
240.402	793.2	787.4
240.783	779.8	776.4
241.163	796.4	796.8
241.544	798.2	802.8
241.925	795.4	787.2
242.306	808.2	804.6
242.687	793.6	787.2
243.069	790.2	796
243.45	794.2	804.6
243.831	786.4	780.8
244.212	778.8	785
244.594	822	828
244.975	798.2	793.2
245.357	792.4	787.4
245.739	768.4	776.6
246.12	776.8	774.2
246.502	790.8	796.2
246.884	763.2	777
247.266	764.6	763
247.648	762.6	777.6
248.03	779.8	787.2
248.412	761.8	769.4
248.794	765.2	763.8
249.176	751.2	750.2
249.559	762.8	772.8
249.941	736.8	737.2
250.323	737	739.8
250.706	731.8	727.8
251.089	738	743.4
251.471	745.8	744.8
251.854	734.6	733.6
252.237	733.4	734.4
252.62	742.8	739.2
253.002	748	723.2
253.385	732.6	730.2
253.769	740.2	737.2
254.152	728.8	724.4
254.535	722	730.2
254.918	711.2	703.6
255.301	725.2	705.8
255.685	712.2	717.6
256.068	710.4	710.8
256.452	748.2	735
256.835	726.8	720.4
257.219	722.4	716.2
257.603	729.2	724.4
257.986	705.4	712.2
258.37	716.8	727.6
258.754	704.8	703.6
259.138	723.8	723.8
259.522	719.6	720.4
259.906	702.2	716.6
260.29	718	720.2
260.675	707.8	711.8
261.059	714.2	711.4
261.443	706.4	703.8
261.828	720.4	714.6
262.212	710.6	712.2
262.597	698	703.2
262.981	702.6	706.8
263.366	717.4	720.2
263.751	707.6	708.8
264.136	707.2	710.8
264.521	716	708
264.906	705	704.2
265.291	719.8	727
265.676	704	707.2
266.061	716.4	724.4
266.446	735	735.6
266.831	714.6	716.2
267.217	734.6	728.4
267.602	716.6	722.2
267.987	720	714.6
268.373	714.8	710.2
268.759	717.2	718.4
269.144	711.8	719.8
269.53	715	709.4
269.916	711.2	709.8
270.302	710.4	710.4
270.688	722.8	724.6
271.074	712.4	705.8
271.46	727.4	734.6
271.846	755.2	748.4
272.232	710.6	714.4
272.618	705	711.4
273.004	711.8	716
273.391	726.8	738.8
273.777	730.6	733.6
274.164	717	731.4
274.55	732.6	736
274.937	718.8	729.4
275.324	708	714.4
275.71	728.6	720.8
276.097	717.6	732.2
276.484	707.8	696.8
276.871	717	719.6
277.258	713.2	736.4
277.645	701.6	704.6
278.032	709	719.2
278.419	715.4	711.4
278.807	716.8	722.8
279.194	706	708.4
279.581	707.2	707.2
279.969	724.8	720.4
280.356	716.4	718.8
280.744	713	720.8
281.131	743.8	740.4
281.519	730.2	726.6
281.907	712.4	719.4
282.295	719.2	713.6
282.682	734.2	721.4
283.07	717.4	710.8
283.458	725.2	726.6
283.846	736.8	726.6
284.235	726	729
284.623	722	730.4
285.011	706.6	708.8
285.399	708.6	720.2
285.788	717.2	720
286.176	702.2	707.8
286.565	733.6	729.6
286.953	707	709.8
287.342	716.2	713
287.731	706.4	718
288.119	701.6	708.2
288.508	708	712.4
288.897	714.2	721.4
289.286	703.4	697.4
289.675	722.8	711.4
290.064	728.4	728.6
290.453	712.4	710.4
290.821	713.2	713.4
291.21	730.6	732.8
291.599	704.4	713.8
291.989	717.4	721.6
292.378	721.6	727.6
292.768	739	741.4
293.157	729.8	728.2
293.547	733.6	731.8
293.936	717	713.6
294.326	719	717.4
294.716	723.6	721.2
295.106	715	710
295.496	727	724.4
295.886	727.2	730.4
296.276	717	718.8
296.666	716.4	710.4
297.056	716.8	713.6
297.446	711	705
297.836	743.6	737.6
298.227	718.4	714.6
298.617	732.2	712.2
299.008	739	733.2
299.398	724.2	710.8
299.789	708.6	719.8
300.179	733.2	728.8
300.57	734.8	735.4
300.961	721.6	723.6
301.352	712.8	719.2
301.742	721.8	721.8
302.133	723.4	729
302.524	715.8	720.4
302.915	722.6	723.8
303.307	715.6	709.8
303.698	732.6	728.8
304.089	728	735.8
304.48	719.8	724
304.872	724.8	734
305.263	719.4	715.4
305.655	719	717
306.046	729.4	734
306.438	731.4	727
306.829	721.6	715.2
307.221	735.8	730.8
307.613	722.8	731.4
308.005	736	734.2
308.397	741.6	741.6
308.789	747.2	742.8
309.181	741.8	750.6
309.573	734.8	746
309.965	728.8	741.6
310.357	722.8	726.8
310.749	734.8	743.2
311.142	719.6	723.6
311.534	734.6	727.8
311.926	725	742.4
312.319	725.2	734.4
312.711	728.4	729.6
313.104	748.6	759.6
313.497	732.2	751.6
313.889	799.4	804.2
314.282	789.4	794
314.675	817.8	812.2
315.068	808	812.6
315.461	830.6	835.8
315.854	876	869.2
316.247	855.2	857
316.64	850.4	859.2
317.033	852	861.2
317.405	866.8	860.6
317.798	847.4	847.8
318.192	837.2	847.4
318.585	814	811.4
318.979	813.8	811
319.372	784.8	788
319.766	782	784.4
320.16	784.6	800
320.553	785.6	801.8
320.947	782.8	797.8
321.341	766.2	770
321.735	775.4	766.8
322.129	756.2	752.2
322.523	803.6	798.4
322.917	767	756.8
323.311	796.2	789.8
323.705	778	767
324.099	787.4	788.4
324.494	789.2	797.8
324.888	778	797.6
325.282	772.2	796.8
325.677	796.8	807.8
326.071	792	802.4
326.466	797.6	800
326.861	792	798.4
327.255	807	802.4
327.65	805.4	817
328.045	811.4	808.8
328.44	795	797.4
328.835	805.8	793.6
329.23	794.8	788.4
329.625	823.6	812.4
330.02	793.6	795.2
330.415	810.2	832
330.81	805.4	801.8
331.206	795	815.4
331.601	793.2	806.8
331.996	812.6	817.8
332.37	820.4	841.6
332.766	790.4	800.2
333.161	835.2	844.4
333.557	801.8	805.2
333.953	798.8	813.2
334.348	1150	1226.4
334.744	811.8	826
335.14	815.4	822
335.536	837	827.2
335.932	850.4	858.2
336.328	842.2	852.2
336.724	852.8	868.4
337.12	849.2	861.4
337.516	866.8	878
337.913	861	870.4
338.309	889.4	880.4
338.705	869.6	871.4
339.102	871	887.4
339.498	857.4	857.6
339.895	880.4	881.6
340.291	851.4	862.4
340.688	869.2	874.2
341.085	850.2	857.8
341.481	851.6	852.4
341.878	861.2	863.6
342.275	880.6	876.2
342.672	851.2	857.2
343.069	857.4	850.8
343.466	851.4	854
343.842	865.6	886.8
344.239	854	868.4
344.636	870.8	876.6
345.033	864	869.4
345.431	861.2	869.2
345.828	872.6	874.8
346.225	865.4	867.6
346.623	907.4	912.2
347.02	878.6	884.6
347.418	880.2	890.2
347.816	893.6	894.4
348.213	866.4	867.4
348.611	890.8	883.2
349.009	864.4	872.4
349.407	888.6	885.4
349.805	851.6	871.4
350.203	859.4	873
350.601	896	896.8
350.999	863.4	888.2
351.397	927.4	926.8
351.795	873.8	872.8
352.193	881.2	885.6
352.57	879	886.6
352.969	887.6	879.8
353.367	868.6	859.6
353.766	855.4	853.8
354.164	871.8	875.4
354.563	871	885.6
354.961	869.6	863.4
355.36	862.8	862
355.759	862.8	862.4
356.158	846.8	848
356.557	857.2	856
356.956	846.2	844
357.355	847.8	841.6
357.754	855	844
358.153	850.8	849.4
358.552	872.8	877.2
358.951	857.8	846.4
359.35	858.6	865
359.75	847	833.8
360.149	834.6	844.2
360.527	833.4	833.4
360.926	833.4	837.2
361.326	843	849
361.726	848.4	836
362.125	831.4	834.4
362.525	842.4	847.6
362.925	833.2	834
363.325	843.2	836.6
363.724	837	835.8
364.124	833.8	832.8
364.524	829.4	841
364.924	868	868.6
365.324	915.2	922.4
365.725	986.6	984
366.125	1138.4	1156.2
366.525	1315.2	1343
366.904	1530.8	1547.6
367.304	1741.8	1781.4
367.705	2011.2	2026.4
368.105	2163.6	2181.8
368.506	2253.6	2317.6
368.906	2356	2409.8
369.307	2375.2	2398.6
369.708	2308.4	2357.4
370.108	2164.8	2199.2
370.509	2008.4	2054.6
370.91	1796.2	1829.4
371.311	1555.2	1615.4
371.712	1376.6	1400
372.113	1203.6	1211.6
372.514	1059.6	1068.6
372.894	967.4	984.2
373.295	911.4	898.8
373.696	877.6	884.6
374.097	852	847.2
374.499	862	850.6
374.9	827.8	820.4
375.301	806	808.6
375.703	807.4	814.4
376.105	791.8	800.6
376.506	811	821.2
376.908	803	825.4
377.309	808	800.4
377.711	810.8	814.6
378.113	804.2	799.6
378.493	809.6	811.2
378.895	804.2	805.8
379.297	819.8	824.8
379.699	813.8	802
380.102	822.4	824.6
380.504	828.8	822.2
380.906	826.4	824.8
381.308	858.6	862.4
381.71	826	831.2
382.113	849	853.8
382.515	849.6	859.8
382.918	849	861.8
383.299	843.6	858.4
383.701	862.2	875.8
384.104	864.6	867.6
384.507	847.8	854.4
384.909	865.4	859
385.312	848.6	854.6
385.715	848.8	847.6
386.118	856.4	859
386.521	840.2	846.4
386.924	858.8	874.6
387.327	843.4	842
387.709	818	835.2
388.112	814	818
388.515	834.6	832.2
388.918	826.2	830
389.322	831.4	837.6
389.725	814.4	827.2
390.129	839.6	842.6
390.532	822.8	826.4
390.936	810	814
391.339	813.8	813.4
391.743	816.4	827
392.125	815	817
392.529	832.4	842.4
392.933	842.2	839.2
393.337	827.4	839.8
393.74	824.4	829.4
394.144	826.4	846.6
394.548	825.6	836.8
394.953	832.6	838.4
395.357	840.8	849.8
395.761	829.2	834.4
396.144	838.6	844
396.548	838.6	832.8
396.952	827	837.6
397.357	838.2	852
397.761	821.8	849.6
398.166	840.4	850.8
398.57	841.4	847.8
398.975	840	847.8
399.379	858.4	852.8
399.763	910.2	921
400.168	863.4	875
400.572	866.6	882
400.977	879.6	879
401.382	909.4	923.6
401.787	908.4	916
402.192	930.4	935.6
402.597	941.4	952
403.002	933.6	928.8
403.386	975.6	984.6
403.791	1005.4	1020
404.197	1050.2	1066
404.602	1239.2	1279.2
405.007	1690.8	1765.6
405.413	2558	2703.8
405.818	3920	4142.6
406.224	5674	6025.4
406.608	7403.4	7900
407.014	8963.8	9584.2
407.42	10317.8	11038
407.825	11419.6	12291.2
408.231	12199.8	13081
408.637	12633.6	13484.4
409.043	12638.6	13509.6
409.449	12070.8	12908
409.834	10992.6	11763.6
410.24	9617.6	10317.8
410.646	8318.2	8876.8
411.052	7057.6	7442.4
411.458	5841.2	6189
411.865	4897.8	5178.2
412.271	4153.4	4394.6
412.677	3606.6	3802.8
413.062	3195	3339.8
413.469	2832	2970
413.875	2670.6	2776.8
414.282	2529.6	2610.8
414.689	2422.4	2535.6
415.095	2421.2	2499.6
415.502	2416.4	2518.2
415.888	2493.8	2571.8
416.294	2507	2599.8
416.701	2642.6	2734.8
417.108	2679.4	2758
417.515	2787.8	2881.6
417.923	2878	3014.2
418.33	3003.8	3081.2
418.715	3087.2	3217.4
419.123	3162.6	3289
419.53	3253.6	3393
419.937	3401.8	3504.6
420.345	3467	3604
420.752	3559.6	3695.4
421.16	3677.2	3801.6
421.546	3779.2	3904.2
421.953	3833.6	3995.4
422.361	3932.8	4046
422.769	4033.6	4177
423.177	4124.4	4280.4
423.585	4239.4	4428.2
423.992	4335.8	4515.4
424.379	4458.2	4613.4
424.787	4590.6	4743.4
425.195	4711	4875.6
425.603	4789	4989.2
426.011	4942.2	5140.2
