#lambda/nm	DC	C1
208.295	566.6	569.4
208.67	506.4	506.8
209.045	472.8	468.2
209.419	465.8	468.8
209.794	679.4	674.2
210.169	651.2	649
210.544	786.8	782
210.919	671	678.2
211.295	654.6	666.8
211.67	668.6	669.2
212.045	670.8	666.2
212.421	661.8	655.8
212.796	705.2	706.6
213.172	656.4	672.4
213.547	665.4	662
213.923	662.6	663.6
214.299	662.4	663
214.675	671.8	669.8
215.051	668	673.2
215.427	681.4	677
215.803	699.2	684.8
216.179	673	661.2
216.555	660.2	660.6
216.932	674.4	680.4
217.308	660.2	659.8
217.684	674.4	668
218.061	676	671.8
218.438	671	671.8
218.814	666	663.2
219.191	678.6	677.2
219.568	661.6	658
219.945	656.8	660.8
220.322	667.6	669.4
220.699	675.2	675.8
221.076	674	678.6
221.453	676.2	668
221.83	664.2	659.8
222.208	666.6	659.4
222.585	669.6	663
222.962	673.4	669.8
223.34	674.4	671
223.717	665.6	664.4
224.095	668	662.6
224.473	674.2	666.8
224.851	670.4	663.2
225.229	659.4	658.8
225.607	682.8	682.6
225.985	667	659.8
226.363	663.2	665
226.741	668.4	665.8
227.119	665.2	668.4
227.497	685.6	680.6
227.876	645.2	655.4
228.254	667.8	669.2
228.633	662.8	670.6
229.011	666.6	673.2
229.39	668	656.6
229.769	663.6	668.8
230.148	677.2	679.4
230.527	682.4	686
230.905	657.2	666.6
231.284	662.8	667.6
231.664	666.8	659
232.043	675.2	682.6
232.422	668.6	674
232.801	662	661.6
233.181	665.2	669.8
233.56	659.8	668.6
233.94	666	670.8
234.319	642.8	656.4
234.699	666.8	674.4
235.079	696.6	709.6
235.458	708.4	706
235.838	683.6	680.6
236.218	659.4	654.4
236.598	647	654.4
236.978	663.2	663
237.358	663	664.2
237.738	659.6	662
238.119	676.6	666.8
238.499	652	650.8
238.88	669.8	669.8
239.26	682.4	689.2
239.641	656.8	657.4
240.021	663.4	662.8
240.402	665.8	667.4
240.783	667.2	662.2
241.163	662.2	663.6
241.544	659.6	663.4
241.925	662	663.4
242.306	682.8	679.8
242.687	658	654
243.069	669	667.2
243.45	676.6	673.8
243.831	659.2	656.4
244.212	666.8	658.2
244.594	707.8	703
244.975	683.8	672.8
245.357	670.4	666.2
245.739	667.8	656.8
246.12	675.2	668.2
246.502	684.8	684.8
246.884	668	666.2
247.266	665.4	659
247.648	673.8	666.2
248.03	692.2	694.6
248.412	672	659.8
248.794	667.4	673.4
249.176	674	661.2
249.559	675.8	667.8
249.941	659.4	654.4
250.323	655.8	650.6
250.706	661.4	665.8
251.089	663.4	664.6
251.471	667.2	669.4
251.854	671.6	670.2
252.237	667.2	673.2
252.62	670.6	674.4
253.002	662	672.2
253.385	664	663
253.769	687.8	686
254.152	670.4	665.6
254.535	668.6	675.2
254.918	658.4	661.4
255.301	660.6	668.4
255.685	665.2	660.2
256.068	662.6	655
256.452	697.4	691.2
256.835	676.4	680.8
257.219	674.4	678.6
257.603	688.8	686.4
257.986	657	664
258.37	683.2	669.4
258.754	656.6	658.8
259.138	678.8	679.2
259.522	666	684
259.906	666.2	659
260.29	672.2	674.8
260.675	668.8	664.6
261.059	668	662
261.443	659.2	658
261.828	677.8	678.4
262.212	678.4	665.8
262.597	658.4	658
262.981	667	667.8
263.366	679	680
263.751	660.8	668.6
264.136	664.8	661.4
264.521	663.6	662
264.906	651.2	659.4
265.291	677	673.4
265.676	662.4	659.6
266.061	676.8	675.2
266.446	681.2	686.2
266.831	665	653.2
267.217	687.4	688.2
267.602	674	673.4
267.987	670	673.4
268.373	660	660.4
268.759	668.4	671
269.144	674.2	679.8
269.53	662.4	672
269.916	660.4	667.6
270.302	661.2	666.4
270.688	669.2	672.8
271.074	671.4	668.4
271.46	682	678
271.846	704.2	706
272.232	668.6	671.2
272.618	660	663.4
273.004	667.8	668
273.391	683.6	675.6
273.777	686.4	678.2
274.164	675.4	672.2
274.55	684.8	687
274.937	676.8	676.2
275.324	665.2	667.2
275.71	679.2	676.6
276.097	673.2	674
276.484	663.8	666.2
276.871	675.4	671.8
277.258	673.8	669
277.645	658.8	656.8
278.032	665.2	661.8
278.419	660	662
278.807	672.6	677.2
279.194	661.2	661.6
279.581	667.4	659.6
279.969	674.8	668
280.356	677.4	669.6
280.744	674.2	672.6
281.131	703	694
281.519	681	684.4
281.907	669	665.8
282.295	669.4	663.6
282.682	680.2	685.8
283.07	669.2	670.6
283.458	677.8	680.2
283.846	681.8	676
284.235	674	695.2
284.623	680.6	684.2
285.011	658.6	668
285.399	672	678.2
285.788	667.6	667.2
286.176	649.6	659
286.565	688.6	676.6
286.953	665.8	672.4
287.342	667.6	665.2
287.731	659.8	667.4
288.119	666.4	659.6
288.508	665.4	663
288.897	669.6	676.2
289.286	655.6	657.4
289.675	681.2	669.2
290.064	682.8	683.2
290.453	663	669.8
290.821	670.2	660.2
291.21	682.2	682.8
291.599	662.8	670.6
291.989	669	676.4
292.378	661.2	679
292.768	685	694.2
293.157	675.4	684.2
293.547	675.2	677.4
293.936	669.2	661.6
294.326	683.4	668.4
294.716	672.2	677
295.106	663	670.2
295.496	679	673.6
295.886	681.8	676
296.276	678.2	672.4
296.666	662.4	672.6
297.056	669.6	663.8
297.446	657.4	656.6
