#lambda/nm	C1
208.295	540.2
208.67	491.6
209.045	453.4
209.419	452.2
209.794	687.6
210.169	667.2
210.544	813.6
210.919	694.6
211.295	680.8
211.67	687.8
212.045	680.4
212.421	678
212.796	740.2
213.172	684
213.547	679.8
213.923	675.8
214.299	679
214.675	696.6
215.051	700.6
215.427	698.8
215.803	716.4
216.179	698.8
216.555	679.2
216.932	694.6
217.308	690
217.684	689.4
218.061	698.8
218.438	686.8
218.814	678.2
219.191	695.6
219.568	679.8
219.945	680.2
220.322	689
220.699	690.4
221.076	691.4
221.453	691.2
221.83	680
222.208	683.4
222.585	681.8
222.962	686.2
223.34	687.2
223.717	689.2
224.095	695.2
224.473	686.4
224.851	684.2
225.229	672.2
225.607	702.2
225.985	672.6
226.363	694
226.741	689.4
227.119	686.4
227.497	693
227.876	668.2
228.254	694.6
228.633	697.4
229.011	690.4
229.39	684.4
229.769	692.4
230.148	698
230.527	706.6
230.905	688.8
231.284	688.8
231.664	681
232.043	694.6
232.422	699
232.801	683.8
233.181	683.4
233.56	684.6
233.94	690.8
234.319	671.6
234.699	676
235.079	730
235.458	724.4
235.838	706.8
236.218	679.2
236.598	663.8
236.978	675.8
237.358	676.6
237.738	678
238.119	692.8
238.499	675.4
238.88	686
239.26	706.4
239.641	681.8
240.021	678.2
240.402	687.8
240.783	675.6
241.163	673.6
241.544	686
241.925	691.8
242.306	690
242.687	669.4
243.069	689
243.45	696
243.831	675.6
244.212	684.6
244.594	722.8
244.975	695.6
245.357	695.4
245.739	673.4
246.12	682.6
246.502	705.6
246.884	682.8
247.266	681.4
247.648	691.2
248.03	714.6
248.412	691
248.794	695.8
249.176	683.2
249.559	702.4
249.941	674.8
250.323	677
250.706	674.8
251.089	688.2
251.471	685.8
251.854	684.4
252.237	691.2
252.62	701.4
253.002	687.8
253.385	682.6
253.769	702.4
254.152	691.4
254.535	687.2
254.918	682.2
255.301	685.8
255.685	686.2
256.068	676
256.452	718.6
256.835	693.8
257.219	694
257.603	705.6
257.986	679.4
258.37	692.4
258.754	676.8
259.138	700.4
259.522	696
259.906	693.6
260.29	701.4
260.675	688.6
261.059	684.4
261.443	680.4
261.828	694
262.212	693.4
262.597	680.8
262.981	675.6
263.366	693
263.751	684.8
264.136	670.8
264.521	684.4
264.906	679.2
265.291	694.6
265.676	683.2
266.061	696.8
266.446	718.4
266.831	688
267.217	714.2
267.602	688.4
267.987	693
268.373	689.6
268.759	699.2
269.144	696
269.53	682
269.916	695.8
270.302	689.2
270.688	690.2
271.074	692.2
271.46	699
271.846	726.2
272.232	698.2
272.618	683.4
273.004	689
273.391	702.4
273.777	711.4
274.164	695.2
274.55	707.4
274.937	694.6
275.324	689.2
275.71	700
276.097	692.4
276.484	685.8
276.871	694.6
277.258	695
277.645	670.4
278.032	687
278.419	681.8
278.807	693.2
279.194	683.2
279.581	679.2
279.969	690
280.356	690.4
280.744	690.8
281.131	721.2
281.519	696.2
281.907	690
282.295	681.6
282.682	704.8
283.07	700.4
283.458	690.4
283.846	697.4
284.235	698.8
284.623	699
285.011	684.6
285.399	695
285.788	696.2
286.176	679.4
286.565	704.8
286.953	677
287.342	685.2
287.731	682.2
288.119	684.6
288.508	685.6
288.897	681
289.286	680.6
289.675	693
290.064	704.6
290.453	681.2
290.821	691.8
291.21	709.4
291.599	687.8
291.989	699.8
292.378	696.8
292.768	714.4
293.157	691.8
293.547	691.8
293.936	675.6
294.326	680.2
294.716	689.4
295.106	678.4
295.496	694
295.886	694.4
296.276	685.2
296.666	689.6
297.056	687.8
297.446	686.8
297.836	713.4
298.227	687.4
298.617	688.8
299.008	701.2
299.398	689
299.789	680.2
300.179	687.2
300.57	693.4
300.961	689.4
301.352	674.8
301.742	698.4
302.133	682
302.524	683.2
302.915	691.6
303.307	679.4
303.698	703.8
304.089	690.6
304.48	692
304.872	698.2
305.263	689.8
305.655	683.2
306.046	700.4
306.438	684.2
306.829	678.6
307.221	711.4
307.613	699.8
308.005	706.2
308.397	710.8
308.789	718.6
309.181	722.4
309.573	710.4
309.965	713.4
310.357	688
310.749	702
311.142	673.4
311.534	688.2
311.926	698.6
312.319	696.6
312.711	681.2
313.104	707.6
313.497	688.6
313.889	735.6
314.282	713.2
314.675	717
315.068	690.6
315.461	698
315.854	725.8
316.247	698.2
316.64	692.6
317.033	683.2
317.405	707.4
317.798	692
318.192	690
318.585	683.2
318.979	698.2
319.372	679.4
319.766	679.2
320.16	696
320.553	703.4
320.947	713.8
321.341	681.4
321.735	685.2
322.129	674.4
322.523	717.8
322.917	686.6
323.311	706
323.705	698.4
324.099	702.8
324.494	715
324.888	705.8
325.282	688.2
325.677	710
326.071	696.8
326.466	696
326.861	691.2
327.255	701.2
327.65	704.8
328.045	711.2
328.44	690.4
328.835	690.8
329.23	677
329.625	710
330.02	690.6
330.415	710.4
330.81	691
331.206	704.8
331.601	686.2
331.996	705.6
332.37	711.2
332.766	681.6
333.161	717.8
333.557	688.4
333.953	685.4
334.348	1020
334.744	693
335.14	689.4
335.536	685.4
335.932	705.6
336.328	695.2
336.724	711.8
337.12	703.8
337.516	685.2
337.913	694.4
338.309	706.4
338.705	693.2
339.102	707.8
339.498	686.2
339.895	704
340.291	688.6
340.688	697.6
341.085	680.6
341.481	689.6
341.878	684.8
342.275	706.4
342.672	670.6
343.069	683.8
343.466	669.6
343.842	703.2
344.239	680.8
344.636	683.6
345.033	673.6
345.431	683
345.828	688.2
346.225	682.2
346.623	722
347.02	680.6
347.418	702.2
347.816	705.6
348.213	672.6
348.611	694.8
349.009	678
349.407	695
349.805	671.4
350.203	676.6
350.601	698.6
350.999	684
351.397	752
351.795	688.4
352.193	705.6
352.57	698.2
352.969	710.6
353.367	670.2
353.766	679.8
354.164	684.2
354.563	703.2
354.961	688.4
355.36	677
355.759	681.4
356.158	674.6
356.557	686.2
356.956	679.2
357.355	675.4
357.754	689.6
358.153	688.4
358.552	717.8
358.951	675
359.35	699.4
359.75	684.6
360.149	674
360.527	667.4
360.926	671.4
361.326	691.2
361.726	683.4
362.125	672.4
362.525	696.4
362.925	683.6
363.325	686.4
363.724	686.8
364.124	683.2
364.524	672.6
364.924	679.2
365.324	687.6
365.725	662.8
366.125	692
366.525	686.6
366.904	686
367.304	664.4
367.705	710.6
368.105	690.4
368.506	683.4
368.906	678
369.307	681.6
369.708	690.6
370.108	662.2
370.509	695.6
370.91	674.2
371.311	683.4
371.712	687.6
372.113	674
372.514	668
372.894	689.6
373.295	683.8
373.696	692.2
374.097	691.2
374.499	714.6
374.9	693.4
375.301	679.2
375.703	691
376.105	668.2
376.506	686
376.908	685.2
377.309	681
377.711	686.6
378.113	681.6
378.493	684
378.895	675.8
379.297	695.2
379.699	668.6
380.102	685.6
380.504	692.6
380.906	665.6
381.308	713.2
381.71	668.8
382.113	694.2
382.515	674.8
382.918	680.8
383.299	679
383.701	686.8
384.104	688
384.507	659.6
384.909	675.6
385.312	661.4
385.715	662
386.118	681
386.521	661.8
386.924	688.8
387.327	668.6
387.709	660.6
388.112	663.8
388.515	672.8
388.918	676.8
389.322	686.4
389.725	678.8
390.129	702.6
390.532	687
390.936	679
391.339	673.2
391.743	685.4
392.125	660.6
392.529	690.2
392.933	704
393.337	680.6
393.74	678.4
394.144	681.6
394.548	675.2
394.953	679.8
395.357	689.6
395.761	675.8
396.144	681
396.548	684.2
396.952	681.4
397.357	682
397.761	677.2
398.166	683.4
398.57	674.2
398.975	670.4
399.379	685.2
399.763	733.6
400.168	687.6
400.572	682
400.977	683.4
401.382	702.2
401.787	695
402.192	695
402.597	703.4
403.002	665.8
403.386	692
403.791	702.2
404.197	673.4
404.602	675.8
405.007	680.2
405.413	677.2
405.818	677.2
406.224	677.2
406.608	676.4
407.014	675.2
407.42	700.8
407.825	673.2
408.231	690.6
408.637	686.4
409.043	693
409.449	677.2
409.834	674.8
410.24	686
410.646	697.4
411.052	689.4
411.458	687
411.865	688
412.271	694.6
412.677	690.8
413.062	694.2
413.469	670.8
413.875	708
414.282	698.6
414.689	695.2
415.095	684.8
415.502	676.2
415.888	689.6
416.294	673.6
416.701	728.2
417.108	680
417.515	687.2
417.923	676.8
418.33	703.8
418.715	692.6
419.123	677.8
419.53	685.6
419.937	687.8
420.345	697.4
420.752	677.4
421.16	700.8
421.546	680.2
421.953	697.2
422.361	670.4
422.769	690.6
423.177	675
423.585	708.4
423.992	704.4
424.379	695.6
424.787	694
425.195	704.8
425.603	683
426.011	704.6
426.419	706.4
426.806	684
427.214	689.8
427.623	711.2
428.031	706.8
428.44	693.4
428.848	696
429.235	703.2
429.644	688.8
430.053	678.2
430.461	697.2
430.87	708.2
431.279	702.4
431.666	680.8
432.075	687.8
432.484	694
432.893	683.8
433.302	706.8
433.711	736.4
434.099	697
434.508	680.2
434.918	676.2
435.327	691
435.737	693
436.125	688.8
436.534	695
436.944	679.8
437.353	695.2
437.763	710.2
438.173	678.4
438.561	692.2
438.971	661.4
439.381	676.4
439.791	690
440.201	660.8
440.589	680.4
440.999	692.6
441.409	687
441.819	668
442.23	697.2
442.619	694.2
443.029	678
443.439	682.8
443.85	697.2
444.26	702.4
444.649	695.8
445.06	680.8
445.471	667.4
445.881	676.8
446.292	696.6
446.682	701.8
447.092	663
447.503	735.6
447.914	683.6
448.325	679.2
448.715	675.4
449.126	668.2
449.537	675.4
449.948	679
